,COUNTRY,YEAR,POPULATION,CONT,LIFE_EXP,GDP_CAP
11,AFGHANISTAN,2007,31889923,ASIA,43.828,974.5803384
23,ALBANIA,2007,3600523,EUROPE,76.423,5937.029526
35,ALGERIA,2007,33333216,AFRICA,72.301,6223.367465
47,ANGOLA,2007,12420476,AFRICA,42.731,4797.231267
59,ARGENTINA,2007,40301927,AMERICAS,75.32,12779.37964
71,AUSTRALIA,2007,20434176,OCEANIA,81.235,34435.36744
83,AUSTRIA,2007,8199783,EUROPE,79.829,36126.4927
95,BAHRAIN,2007,708573,ASIA,75.635,29796.04834
107,BANGLADESH,2007,150448339,ASIA,64.062,1391.253792
119,BELGIUM,2007,10392226,EUROPE,79.441,33692.60508
131,BENIN,2007,8078314,AFRICA,56.728,1441.284873
143,BOLIVIA,2007,9119152,AMERICAS,65.554,3822.137084
155,BOSNIA AND HERZEGOVINA,2007,4552198,EUROPE,74.852,7446.298803
167,BOTSWANA,2007,1639131,AFRICA,50.728,12569.85177
179,BRAZIL,2007,190010647,AMERICAS,72.39,9065.800825
191,BULGARIA,2007,7322858,EUROPE,73.005,10680.79282
203,BURKINA FASO,2007,14326203,AFRICA,52.295,1217.032994
215,BURUNDI,2007,8390505,AFRICA,49.58,430.0706916
227,CAMBODIA,2007,14131858,ASIA,59.723,1713.778686
239,CAMEROON,2007,17696293,AFRICA,50.43,2042.09524
251,CANADA,2007,33390141,AMERICAS,80.653,36319.23501
263,CENTRAL AFRICAN REPUBLIC,2007,4369038,AFRICA,44.741,706.016537
275,CHAD,2007,10238807,AFRICA,50.651,1704.063724
287,CHILE,2007,16284741,AMERICAS,78.553,13171.63885
299,CHINA,2007,1318683096,ASIA,72.961,4959.114854
311,COLOMBIA,2007,44227550,AMERICAS,72.889,7006.580419
323,COMOROS,2007,710960,AFRICA,65.152,986.1478792
335,"CONGO, DEM. REP.",2007,64606759,AFRICA,46.462,277.5518587
347,"CONGO, REP.",2007,3800610,AFRICA,55.322,3632.557798
359,COSTA RICA,2007,4133884,AMERICAS,78.782,9645.06142
371,COTE D'IVOIRE,2007,18013409,AFRICA,48.328,1544.750112
383,CROATIA,2007,4493312,EUROPE,75.748,14619.22272
395,CUBA,2007,11416987,AMERICAS,78.273,8948.102923
407,CZECH REPUBLIC,2007,10228744,EUROPE,76.486,22833.30851
419,DENMARK,2007,5468120,EUROPE,78.332,35278.41874
431,DJIBOUTI,2007,496374,AFRICA,54.791,2082.481567
443,DOMINICAN REPUBLIC,2007,9319622,AMERICAS,72.235,6025.374752
455,ECUADOR,2007,13755680,AMERICAS,74.994,6873.262326
467,EGYPT,2007,80264543,AFRICA,71.338,5581.180998
479,EL SALVADOR,2007,6939688,AMERICAS,71.878,5728.353514
491,EQUATORIAL GUINEA,2007,551201,AFRICA,51.579,12154.08975
503,ERITREA,2007,4906585,AFRICA,58.04,641.3695236
515,ETHIOPIA,2007,76511887,AFRICA,52.947,690.8055759
527,FINLAND,2007,5238460,EUROPE,79.313,33207.0844
539,FRANCE,2007,61083916,EUROPE,80.657,30470.0167
551,GABON,2007,1454867,AFRICA,56.735,13206.48452
563,GAMBIA,2007,1688359,AFRICA,59.448,752.7497265
575,GERMANY,2007,82400996,EUROPE,79.406,32170.37442
587,GHANA,2007,22873338,AFRICA,60.022,1327.60891
599,GREECE,2007,10706290,EUROPE,79.483,27538.41188
611,GUATEMALA,2007,12572928,AMERICAS,70.259,5186.050003
623,GUINEA,2007,9947814,AFRICA,56.007,942.6542111
635,GUINEA-BISSAU,2007,1472041,AFRICA,46.388,579.231743
647,HAITI,2007,8502814,AMERICAS,60.916,1201.637154
659,HONDURAS,2007,7483763,AMERICAS,70.198,3548.330846
671,"HONG KONG, CHINA",2007,6980412,ASIA,82.208,39724.97867
683,HUNGARY,2007,9956108,EUROPE,73.338,18008.94444
695,ICELAND,2007,301931,EUROPE,81.757,36180.78919
707,INDIA,2007,1110396331,ASIA,64.698,2452.210407
719,INDONESIA,2007,223547000,ASIA,70.65,3540.651564
731,IRAN,2007,69453570,ASIA,70.964,11605.71449
743,IRAQ,2007,27499638,ASIA,59.545,4471.061906
755,IRELAND,2007,4109086,EUROPE,78.885,40675.99635
767,ISRAEL,2007,6426679,ASIA,80.745,25523.2771
779,ITALY,2007,58147733,EUROPE,80.546,28569.7197
791,JAMAICA,2007,2780132,AMERICAS,72.567,7320.880262
803,JAPAN,2007,127467972,ASIA,82.603,31656.06806
815,JORDAN,2007,6053193,ASIA,72.535,4519.461171
827,KENYA,2007,35610177,AFRICA,54.11,1463.249282
839,"KOREA, DEM. REP.",2007,23301725,ASIA,67.297,1593.06548
851,"KOREA, REP.",2007,49044790,ASIA,78.623,23348.13973
863,KUWAIT,2007,2505559,ASIA,77.588,47306.98978
875,LEBANON,2007,3921278,ASIA,71.993,10461.05868
887,LESOTHO,2007,2012649,AFRICA,42.592,1569.331442
899,LIBERIA,2007,3193942,AFRICA,45.678,414.5073415
911,LIBYA,2007,6036914,AFRICA,73.952,12057.49928
923,MADAGASCAR,2007,19167654,AFRICA,59.443,1044.770126
935,MALAWI,2007,13327079,AFRICA,48.303,759.3499101
947,MALAYSIA,2007,24821286,ASIA,74.241,12451.6558
959,MALI,2007,12031795,AFRICA,54.467,1042.581557
971,MAURITANIA,2007,3270065,AFRICA,64.164,1803.151496
983,MAURITIUS,2007,1250882,AFRICA,72.801,10956.99112
995,MEXICO,2007,108700891,AMERICAS,76.195,11977.57496
1007,MONGOLIA,2007,2874127,ASIA,66.803,3095.772271
1019,MONTENEGRO,2007,684736,EUROPE,74.543,9253.896111
1031,MOROCCO,2007,33757175,AFRICA,71.164,3820.17523
1043,MOZAMBIQUE,2007,19951656,AFRICA,42.082,823.6856205
1055,MYANMAR,2007,47761980,ASIA,62.069,944
1067,NAMIBIA,2007,2055080,AFRICA,52.906,4811.060429
1079,NEPAL,2007,28901790,ASIA,63.785,1091.359778
1091,NETHERLANDS,2007,16570613,EUROPE,79.762,36797.93332
1103,NEW ZEALAND,2007,4115771,OCEANIA,80.204,25185.00911
1115,NICARAGUA,2007,5675356,AMERICAS,72.899,2749.320965
1127,NIGER,2007,12894865,AFRICA,56.867,619.6768924
1139,NIGERIA,2007,135031164,AFRICA,46.859,2013.977305
1151,NORWAY,2007,4627926,EUROPE,80.196,49357.19017
1163,OMAN,2007,3204897,ASIA,75.64,22316.19287
1175,PAKISTAN,2007,169270617,ASIA,65.483,2605.94758
1187,PANAMA,2007,3242173,AMERICAS,75.537,9809.185636
1199,PARAGUAY,2007,6667147,AMERICAS,71.752,4172.838464
1211,PERU,2007,28674757,AMERICAS,71.421,7408.905561
1223,PHILIPPINES,2007,91077287,ASIA,71.688,3190.481016
1235,POLAND,2007,38518241,EUROPE,75.563,15389.92468
1247,PORTUGAL,2007,10642836,EUROPE,78.098,20509.64777
1259,PUERTO RICO,2007,3942491,AMERICAS,78.746,19328.70901
1271,REUNION,2007,798094,AFRICA,76.442,7670.122558
1283,ROMANIA,2007,22276056,EUROPE,72.476,10808.47561
1295,RWANDA,2007,8860588,AFRICA,46.242,863.0884639
1307,SAO TOME AND PRINCIPE,2007,199579,AFRICA,65.528,1598.435089
1319,SAUDI ARABIA,2007,27601038,ASIA,72.777,21654.83194
1331,SENEGAL,2007,12267493,AFRICA,63.062,1712.472136
1343,SERBIA,2007,10150265,EUROPE,74.002,9786.534714
1355,SIERRA LEONE,2007,6144562,AFRICA,42.568,862.5407561
1367,SINGAPORE,2007,4553009,ASIA,79.972,47143.17964
1379,SLOVAK REPUBLIC,2007,5447502,EUROPE,74.663,18678.31435
1391,SLOVENIA,2007,2009245,EUROPE,77.926,25768.25759
1403,SOMALIA,2007,9118773,AFRICA,48.159,926.1410683
1415,SOUTH AFRICA,2007,43997828,AFRICA,49.339,9269.657808
1427,SPAIN,2007,40448191,EUROPE,80.941,28821.0637
1439,SRI LANKA,2007,20378239,ASIA,72.396,3970.095407
1451,SUDAN,2007,42292929,AFRICA,58.556,2602.394995
1463,SWAZILAND,2007,1133066,AFRICA,39.613,4513.480643
1475,SWEDEN,2007,9031088,EUROPE,80.884,33859.74835
1487,SWITZERLAND,2007,7554661,EUROPE,81.701,37506.41907
1499,SYRIA,2007,19314747,ASIA,74.143,4184.548089
1511,TAIWAN,2007,23174294,ASIA,78.4,28718.27684
1523,TANZANIA,2007,38139640,AFRICA,52.517,1107.482182
1535,THAILAND,2007,65068149,ASIA,70.616,7458.396327
1547,TOGO,2007,5701579,AFRICA,58.42,882.9699438
1559,TRINIDAD AND TOBAGO,2007,1056608,AMERICAS,69.819,18008.50924
1571,TUNISIA,2007,10276158,AFRICA,73.923,7092.923025
1583,TURKEY,2007,71158647,EUROPE,71.777,8458.276384
1595,UGANDA,2007,29170398,AFRICA,51.542,1056.380121
1607,UNITED KINGDOM,2007,60776238,EUROPE,79.425,33203.26128
1619,UNITED STATES,2007,301139947,AMERICAS,78.242,42951.65309
1631,URUGUAY,2007,3447496,AMERICAS,76.384,10611.46299
1643,VENEZUELA,2007,26084662,AMERICAS,73.747,11415.80569
1655,VIETNAM,2007,85262356,ASIA,74.249,2441.576404
1667,WEST BANK AND GAZA,2007,4018332,ASIA,73.422,3025.349798
1679,"YEMEN, REP.",2007,22211743,ASIA,62.698,2280.769906
1691,ZAMBIA,2007,11746035,AFRICA,42.384,1271.211593
1703,ZIMBABWE,2007,12311143,AFRICA,43.487,469.7092981
